,IS_TENT,GENDER,AGE,MARITAL_STATUS,PROFESSION
0,False,M,27,Single,Professional
1,False,F,39,Married,Other
2,False,F,39,Married,Other
3,False,F,56,Unspecified,Hospitality
4,False,M,45,Married,Retired
5,False,M,45,Married,Retired
6,False,F,39,Married,Other
7,False,F,49,Married,Other
8,False,F,49,Married,Other
9,False,M,47,Married,Retired
10,False,M,47,Married,Retired
11,False,M,21,Single,Retail
12,False,F,66,Married,Other
13,False,F,35,Married,Professional
14,False,M,20,Single,Sales
15,False,M,20,Single,Sales
16,False,M,20,Single,Sales
17,False,F,37,Single,Other
18,False,M,42,Married,Other
19,True,F,24,Married,Retail
20,False,F,24,Married,Retail
21,False,M,29,Single,Retail
22,False,M,29,Single,Retail
23,True,M,43,Married,Trades
24,False,M,43,Married,Trades
25,True,F,43,Unspecified,Hospitality
26,False,F,43,Unspecified,Hospitality
27,False,F,43,Unspecified,Hospitality
28,True,F,43,Unspecified,Hospitality
29,False,M,29,Single,Other
30,False,M,41,Married,Professional
31,False,M,32,Married,Other
32,False,M,34,Married,Sales
33,False,F,18,Single,Student
34,False,F,31,Married,Executive
35,True,M,28,Single,Trades
36,False,F,24,Single,Student
37,True,F,29,Single,Other
38,False,F,29,Single,Other
39,False,F,68,Unspecified,Hospitality
40,True,M,42,Married,Trades
41,False,M,42,Married,Trades
42,True,F,33,Married,Hospitality
43,False,F,33,Married,Hospitality
44,False,F,33,Married,Hospitality
45,False,F,54,Married,Other
46,False,F,54,Married,Other
47,False,F,54,Married,Other
48,False,M,38,Married,Executive
49,False,M,38,Married,Executive
50,False,M,38,Married,Executive
51,True,M,24,Single,Other
52,False,F,24,Unspecified,Other
53,False,F,24,Unspecified,Other
54,False,F,20,Single,Retail
55,False,F,20,Single,Retail
56,False,F,29,Single,Professional
57,False,M,40,Married,Other
58,False,F,49,Unspecified,Hospitality
59,False,F,26,Single,Other
60,False,F,51,Unspecified,Hospitality
61,False,M,29,Single,Professional
62,False,F,33,Married,Executive
63,False,M,47,Married,Professional
64,False,F,38,Married,Other
65,False,F,39,Married,Executive
66,False,M,29,Single,Professional
67,False,M,29,Single,Professional
68,False,F,33,Married,Executive
69,False,F,20,Single,Professional
70,False,M,31,Married,Other
71,False,F,31,Single,Other
72,False,F,42,Married,Other
73,False,F,42,Married,Other
74,False,F,42,Married,Other
75,True,M,21,Single,Trades
76,False,F,65,Married,Other
77,False,F,65,Married,Other
78,False,F,41,Unspecified,Hospitality
79,False,F,41,Unspecified,Hospitality
80,False,M,17,Single,Student
81,False,M,55,Married,Trades
82,False,M,55,Married,Trades
83,False,M,55,Married,Trades
84,False,M,55,Married,Trades
85,False,F,52,Married,Executive
86,False,M,35,Married,Trades
87,False,F,34,Single,Retail
88,True,M,25,Single,Other
89,False,M,25,Single,Other
90,False,M,25,Single,Other
91,False,F,18,Single,Retail
92,False,F,19,Single,Other
93,False,M,36,Single,Professional
94,False,M,33,Married,Professional
95,True,M,33,Married,Sales
96,False,F,30,Single,Professional
97,False,F,29,Single,Other
98,False,F,29,Single,Other
99,False,M,21,Single,Sales
100,False,M,21,Single,Sales
101,False,F,44,Married,Other
102,False,M,21,Single,Student
103,False,M,21,Single,Student
104,False,M,46,Married,Trades
105,False,F,47,Married,Sales
106,False,F,34,Single,Professional
107,False,F,24,Single,Professional
108,False,F,27,Single,Retail
109,False,F,28,Single,Professional
110,False,M,26,Married,Other
111,False,M,26,Married,Other
112,False,M,29,Single,Professional
113,False,M,29,Single,Professional
114,False,M,29,Single,Professional
115,False,F,23,Single,Professional
116,False,M,27,Single,Other
117,False,F,26,Married,Executive
118,False,F,26,Married,Executive
119,False,F,20,Single,Other
120,False,M,26,Single,Other
121,False,M,33,Married,Other
122,False,M,33,Married,Other
123,False,F,19,Single,Other
124,False,F,19,Single,Other
125,True,F,26,Married,Other
126,False,F,26,Married,Other
127,False,F,40,Married,Other
128,False,F,40,Married,Other
129,False,F,40,Married,Other
130,False,M,40,Single,Other
131,False,M,40,Single,Other
132,True,M,40,Single,Other
133,False,M,40,Single,Other
134,False,M,40,Single,Other
135,False,M,44,Single,Other
136,False,M,44,Single,Other
137,False,M,43,Married,Trades
138,False,M,43,Married,Trades
139,False,F,24,Single,Retail
140,False,M,28,Unspecified,Sales
141,False,F,22,Single,Professional
142,False,F,20,Married,Retail
143,False,F,46,Married,Retail
144,False,M,31,Unspecified,Sales
145,False,M,31,Unspecified,Sales
146,False,M,31,Unspecified,Sales
147,False,M,31,Unspecified,Sales
148,False,M,31,Unspecified,Sales
149,False,F,23,Single,Student
150,False,F,23,Single,Student
151,False,F,37,Married,Other
152,False,F,37,Married,Other
153,False,F,50,Married,Other
154,False,F,18,Single,Student
155,False,M,30,Single,Trades
156,False,F,67,Married,Other
157,False,M,30,Married,Other
158,False,M,24,Single,Professional
159,False,F,31,Married,Other
160,False,F,31,Married,Other
161,False,M,35,Married,Other
162,False,M,41,Married,Trades
163,False,M,41,Married,Trades
164,False,F,25,Single,Other
165,False,F,23,Single,Other
166,False,F,25,Single,Other
167,False,F,30,Married,Hospitality
168,False,M,49,Unspecified,Trades
169,False,M,39,Married,Other
170,True,F,34,Married,Other
171,False,F,34,Married,Other
172,True,M,28,Single,Student
173,False,F,42,Married,Other
174,False,F,27,Single,Other
175,True,M,25,Single,Professional
176,False,M,55,Married,Other
177,False,M,27,Married,Other
178,False,M,27,Married,Other
179,False,F,19,Single,Professional
180,False,M,50,Married,Professional
181,False,F,33,Married,Other
182,False,F,33,Married,Other
183,False,M,35,Married,Sales
184,False,M,26,Married,Sales
185,False,M,26,Married,Sales
186,False,F,31,Married,Retail
187,False,F,31,Married,Retail
188,True,M,42,Married,Sales
189,False,M,42,Married,Sales
190,False,F,40,Married,Other
191,False,F,40,Married,Other
192,False,F,21,Married,Other
193,False,F,19,Single,Other
194,False,F,43,Married,Other
195,False,F,43,Married,Other
196,False,F,31,Married,Other
197,False,F,31,Married,Other
198,False,F,49,Married,Executive
199,False,F,49,Married,Executive
200,False,M,43,Married,Trades
201,False,M,43,Married,Trades
202,True,F,29,Single,Hospitality
203,False,F,29,Single,Hospitality
204,True,F,24,Single,Retail
205,False,M,20,Single,Other
206,False,M,20,Single,Other
207,False,M,33,Married,Executive
208,False,M,19,Single,Other
209,False,M,27,Married,Other
210,False,M,27,Married,Executive
211,False,M,27,Married,Executive
212,False,M,27,Married,Executive
